user,tweet,hashtag,location
hamza_t9,"@MSBaig12 The one and only- hazaare da paawa, Major lawa",,"Hannover, Germany"
xKathyMxxx,@violetpaperstar well.. this hurt-,,"Hannover, Deutschland"
MexxKite,@remaininlullaby Because I‘m HOT! 👍👍👍 https://t.co/OPy33RUMtB,,Hannover
raijufx,support my guy https://t.co/fSYFi8DBeh,,"Hannover, Deutschland"
JRehborn,@heathcummingssr They don't have their first round pick 2023. How should they even get another good QB? And Tua isn't bad. He's just not elite. They have more urgent position issues.,,"Hannover, Deutschland"
MexxKite,"@nokuturne So, which anime/game character did you show her first? 😂",,Hannover
AlexianNeumann,@RealRustyShakl @WisePuertoRican @DrJillStein And… that would have prevented the war?,,"Hannover, Germany"
HeikoFeieraben1,Have to leave Achensee/Austria….so sad! https://t.co/FYGsScyuc2,,"Hannover, Deutschland"
Poakz44,@snowzyfne guck dc,,Hannover city
TobiKunze,"Fuck American Management, Fuck Capitalism
Merry Chrisis https://t.co/gBSCQWMnGx",,Hannover
IrgendsoeinBoy1,@MiamiDolphins 2nd half offense just a sh*tshow - race to playoffs will be tough,,"Hannover, Deutschland"
traininglive,"Wanted to share this with you.
https://t.co/GjNJtcQu8Z",,Hannover
hamza_t9,@Saleem60Wahab Jee @CMShehbaz jaise bethe hain dekhe circle me😂,,"Hannover, Germany"
pwndXatu,"@Dundle_com What the hell? You like my tweet but can't reply? Customer satisfaction is very important to you, I see.🤝🤨",,"Hannover, Deutschland"
EugestShirley,"@MichaelWarbur17 ❤️🇨🇦🚂
I love the Canadian Pacific Holiday Train.",,Hanover
bezosforlunch,@souljaian Vro im broke i wish i had the money on me rn that is pure fire,,"Hannover, Deutschland"
wolferic12,@DiebreiteMasse2 Star Wars Episode 7,,"Hannover, Deutschland"
ahmad343,Well said 👍🏻 https://t.co/3tLRuwCjsp,,"Hanover, Lower Saxony"
robbysherwood,@MelnykAndrij Oh! Nooooo!!!,,"Lehrte, Deutschland"
SHomburg,@Michael69699813 Interessant.,,"Hannover, Germany"
EugestShirley,"@DavidRaymerLD29 By the way, the bomber's shoes were Nike's 
The troll's shoes appear to be dark pumps worn with light colored hose.
It can be fun to speculate, but there is no reason to assume we would already know the bomber by name, once arrested.
https://t.co/SuMqfpwvuc",,Hanover
JuliusKolbe,@sirKaosx @OXG_Esports @WichitaWolvesGG Die anyone use this scan for teammates?,,"Hanover, Lower Saxony"
PugilistProdigy,"@Gunorbo @__cyk0777 @UberFacts Horsepower (hp) is a unit of measurement of power...

https://t.co/JMgkzdADT3",,"Hannover, Germany"
PugilistProdigy,"@RobCross180 Jesus, your sister is hot. Mind if i take her?",,"Hannover, Germany"
EugestShirley,@DavidRaymerLD29 Happy Holidays from Costa Rica. https://t.co/dHursyo1gB,,Hanover
PugilistProdigy,@__cyk0777 @UberFacts I didn't know HP measured intelligence.,,"Hannover, Germany"
FrankGehrmann11,@ChelsSeashells @RebecTV What....What?- 2013 I don’t wanna go-2022 I knew this teeth 🦷😃😃,,"Laatzen, Deutschland"
DenKabangu,@tiza_jeremiah Lets goo,,Letter
DS_Daisyy,Bye boo this guff got places to be @Blazing_Yara https://t.co/EP1wPt6WPa,,"Hannover, Deutschland"
socialclueless,@llesfotzen Nein,,Hannover
PugilistProdigy,@primkup1 @Maks_NAFO_FELLA Rheinmetall chief sat in it before the world has even known about it.,,"Hannover, Germany"
ATMNRG,"@renegade_Kathy @ideoh @nytopinion @peytonology I hate when a book (especially this one) comes true, lol",,Hannover
SHomburg,@Michael_Ah80 @abirballan @elonmusk @DrJBhattacharya @P_McCulloughMD @RWMaloneMD__2 @PierreKory Fake.,,"Hannover, Germany"
Rokuagames,@Zissy2014 It is always morally acceptable to pirate Adobe products.,,Hannover
PugilistProdigy,@UberFacts I doubt it. Pretty sure a human is stronger than a horse and 15 humans would easily kill it.,,"Hannover, Germany"
Tsumef4n,@DuskPanda Oh oh? 👀,,"Hanover, Lower Saxony, Germany"
