user,tweet,hashtag,location
DarthSquig,"@dp66 Christmas day I‘m spending 10h in a train from Hanover to Budapest…

For tomorrow we mainly have Herrenhäuser Pils, some legt overs, and some Belgian beer gifts (Lindeman Faro, Cuvee des Trolles, gordon noël, bush noël), plus some left overs from whats on that picture :)",,"Brussel (B), Hannover (D)"
jill_king77,@Tracey137695622 @SenWhitehouse one of those infamous april22 bots thirsty for your outrage.,,"hannover, germany"
MC_Floh,"@TheFlatEartherr Mars on Devon Island/Canada 🇨🇦
🧐🤔

#Mars #Devon #Island #Canada
#NASA #Movie #Film #Show 
#Hoax #Bogus #Deception https://t.co/3jhuHqZAWE","['Mars', 'Devon', 'Island', 'Canada', 'NASA', 'Movie', 'Film', 'Show', 'Hoax', 'Bogus', 'Deception']","Hannover, Germany"
TyphooLeft,@overtime James Clear 2.0,,"Hanover, Lower Saxony"
MEljnoubi,"@temberaubend POV: Im so shy 
Reality: Party machen ohne Ende😂",,
das_Menschy,@elonmusk How old are you?,,Hannover
Poakz44,@woxxow_ look dm,,Hannover city
LeonHain,"@ROSHTEINS Ascripes

I would cashout any tip:)",,"Hannover, Deutschland"
OanaJoean,"My Christmas wish is for short, oral treatments to be widely available to everyone with drug resistant TB. Inspiring work from @MSFsci!

@MSF_access @WHO @TBnet_EU @mckiremba 
https://t.co/7w3bkXtiqI",,"Hannover, Germany"
janniswiese,"@jacksonhinklle Now OPENLY supporting Putin? You’re making it too easy for us, vatnik https://t.co/5jPXNFM7Cc",,"Hanover, Lower Saxony"
mhp4nhrep,You know what to do! #TrackNORADSanta https://t.co/fT8Bfj02n8,['TrackNORADSanta'],Hanover
hamza_t9,@themarium_ Nice one 💯,,"Hannover, Germany"
janniswiese,@MaajidNawaz @Space_Nicolas There’s only one Nazi in this conflict https://t.co/9pqWpFNWXD,,"Hanover, Lower Saxony"
JRehborn,@scalzi Ouch. Hope you are safe.,,"Hannover, Deutschland"
torguess1,@nytimes Lock him up.,,"Hannover, Deutschland"
CaptainAra84,"@NFTS4EVER Well, I guess these people are poor judges of character then 😂 I wish you all the best for next year on your way to reach those goals 🔥🙂",,"Hannover, Deutschland"
janniswiese,@JohnK31853672 And just when we had some fun… What a coward. https://t.co/4qYGsq2xKm,,"Hanover, Lower Saxony"
CaptainAra84,@NFTS4EVER Don't forget that I'm not someone who's actually built a huge following himself😁 I just like when others do these things and I try to do that myself.,,"Hannover, Deutschland"
EugestShirley,"@frankdpi ""A free press is one of the biggest threats to public figures behaving badly ]""

https://t.co/uzG8L3ma5u",,Hanover
CaptainAra84,"@NFTS4EVER 4) Stay in your niche (e.g. VeVe), don't mix everything (like sports, politics etc.) together
5) Regularly post original thoughts rather than copying others
6) Share something personal from time to time, be relatable as a human being

That's what I like about others at least :-)",,"Hannover, Deutschland"
nephrotranz,"@famifamimario Looks like you found the place where you belong to, Phenomenal.",,Hannover
CaptainAra84,"@NFTS4EVER I don't have a ton of followers either but what I realized is that a few actions on Twitter can make a big difference:

1) Be authentic and compassionate
2) Speak your mind in a respectful way
3) Engage with others in a positive way as often as you can
(1/2)",,"Hannover, Deutschland"
DarthSquig,"@jill_please Germany is like Austria, Switzerland, and Alsace, plus all those weird wonderful Northern and Eastern German dishes, obviously.",,"Brussel (B), Hannover (D)"
Steilpass_96,@schusi_berlin Go for it.,,Hannover
IpobHannover,"@MalcolmInfiniti Those massacred by Fulanii herdsmen in Benue, kaduna,abia,ogun,jos,Enugu and so on,who misled them? Danjuma as ex military man said they collude with Nigeria security operatives.Oga Barrister Igbos are trying to defend themselves as https://t.co/V6wKCDqHSA must reason properly",,"Hanover, Lower Saxony"
mhp4nhrep,@RepAnnieKuster Thank you Congresswoman Kuster. Happy Holidays are here.,,Hanover
das_Menschy,@BerlinerGadse Please stop attacking @.nomnomcookieez. She is definitely not a Russhist or vatnik. If you don't stop it I might have to block you.,,Hannover
DarthSquig,"@yvanspijk (And snackär or so (sp) is also swedish for too talk, I always found it cool that low German had such an influence on Swedish 😎",,"Brussel (B), Hannover (D)"
DarthSquig,"@yvanspijk Snacken/Snack is used in German as well, via English.
German for dike is Deich, too.",,"Brussel (B), Hannover (D)"
_MorbusBahlsen_,@aggyanubis I only buy at @ElwoodDogMeat,,"Hannover, Deutschland"
_MorbusBahlsen_,@KopkeNicholas @SBakerMD Learn to cook.,,"Hannover, Deutschland"
_MorbusBahlsen_,"@SBakerMD ''Twenty-one omnivore and 21 vegan patients who underwent surgical excision of a nonmelanoma skin cancer were enrolled.''
Lul.",,"Hannover, Deutschland"
woxrr_,wie war zNxtNxBy shadow legacy champ,,
_MorbusBahlsen_,@danman2044 @SBakerMD Can you explain the second part?,,"Hannover, Deutschland"
MC_Floh,"@TheFlatEartherr Did we really land on the #Moon? #NASA has destroyed the alleged evidence. Case closed!

#Apollo11 #Apollo #Landing 
#Buzz #Aldrin #Kubrick #Braun #Movie #Film #Hoax https://t.co/SUK405OPn0","['Moon', 'NASA', 'Apollo11', 'Apollo', 'Landing', 'Buzz', 'Aldrin', 'Kubrick', 'Braun', 'Movie', 'Film', 'Hoax']","Hannover, Germany"
DarthSquig,"@Fianna_Saoirse I can‘t unsee it, unfortunately.",,"Brussel (B), Hannover (D)"
xKathyMxxx,@fedyakisser now I feel forced to continue scrolling through twitter so this isn't the last tweet I see before I go to sleep,,"Hannover, Deutschland"
Iceman2709,"@LiquidGuild GG😊 the real loser is Blizzard. 
1. A Raid before Christmas is not a good Idea
2. A Nerf when a Guild is offline. This is Bad
3. No global Release 
But Echo was this Tier better, that's Fact !! do it better next time. you already have the advantage of one more day of progress",,"Hannover,Germany"
xKathyMxxx,@creantzy AHHHH I LOVE THIS SO MUCH 😭❤,,"Hannover, Deutschland"
_reiccoon_,"@alomenopee @amalieskram there are also many articles that follow transsexual, dementia patients that show the same phenomenon",,"Hannover, Deutschland"
_reiccoon_,"@alomenopee @amalieskram yup, that's exactly what happens,i knew a trans man with dementia that lived in the same retirement home as my great-grandmother and he was so confused and shocked when he got referred to by his right pronouns,forgot he came out and tried to akt more ""feminine"" from time to time",,"Hannover, Deutschland"
Revonnah96,@froschmaedchen_ Bestes 😄,,Hannover
IchHabRecht,@4TheBattles Even female 😱,,Hannover
IchHabRecht,@_TwoYen_ @Alfindeol @pkmntrnrsteph But it's an ice meta as well 😕,,Hannover
Iceman2709,"@neeko_tv @LukKonen15 @LiquidGuild 1. EU is always behind NA because of the time difference.
2. Before the Nerf Echo 8%, Liquid 14%.
3. Echo 100 Pulls less 
Sorry Dude the Race was nice but Echo was this time better.
But blizzard fails a lot. That's the Point of the Race",,"Hannover,Germany"
das_Menschy,"@sachee You really like the color blue, do you? 🟦🔷🔵",,Hannover
MC_Floh,"@whitepillpost @TheFlatEartherr Quite conceivable. But then the question arises, what could still be regarded as truthful at all?!",,"Hannover, Germany"
MC_Floh,"@PrettyPuppiesJ @TheFlatEartherr It's ""Makeup And Vanity Set - The Tyburn Tree"".

https://t.co/lspKz7FXKK",,"Hannover, Germany"
PeterSpiess2,@TimBolhouse @TrinchereKarl @ericareport Is he a habitual liar like 45?,,"Hannover, Niedersachsen"
LunaticJudai,i have to be strong to not buy every denji figurine that gets released...hnnnghhh,,"Hannover, Deutschland"
NasserM42352790,@CohenRanj I wish you and Kurdistan well and peace ♥️,,"Hannover, Deutschland"
BukhariRiki,@OmarAdlan21 😂 Yours at 34,,"Hanover, Germany"
Uschi_Hotze,@PaulaPe192021 Frische Jogginghose.,,"Hannover, Deutschland"
zlemTrkan14,"Today's Episode was so damn cuute 😆💖
#MySchoolPresidentEP4 
#MySchoolPresident https://t.co/rHdYFbYoUh","['MySchoolPresidentEP4', 'MySchoolPresident']","Hannover, Deutschland"
annika_schach,"@NordicAllian Very interesting results. In Germany, the DEI debate is much more influenced by the gender issue.",,"Hannover, Deutschland"
JRehborn,@TheOnyxPath Well done! And well deserved.,,"Hannover, Deutschland"
PugilistProdigy,@makaylamoet junk ride,,"Hannover, Germany"
zlemTrkan14,@Chyungie Today's Episode was so cuute. I couldn't believe that Gun can flirt 😂😂 or wasn't he cautious that he flirted woth Tinn?😂😂,,"Hannover, Deutschland"
PugilistProdigy,@deminewcombe316 French junk. Pull out while you still can.,,"Hannover, Germany"
janniswiese,@FranciswongCro Thanks and you as well! #crofam,['crofam'],"Hanover, Lower Saxony"
CaptainAra84,@lucadett81 Missing the SR 😢 I might pick it up sometime after Christmas :-),,"Hannover, Deutschland"
BenFM414,@joncoopertweets Trump in an absolute landslide,,Hanover
PugilistProdigy,@ovahzzy @Lavi_Levstein @oryxspioenkop No worries. DMG Mori is a fusion of Deckel Maho Gildemeister (German) and Mori (Japan) however it's 75% owned by Mori and 5% by DMG with other 20% being various shareholders.,,"Hannover, Germany"
Maurice_Kri,"@PkmnBrainrot Pokémon Diamond for me-20 years, so not that far away, good one🙌",,"Hannover, Deutschland"
amboscock,@shinyottaro Goethe a man if culture,,"Hannover, Deutschland"
JonasL1896,@1954x1887 Hannover 96,,"Hannover, Deutschland"
PugilistProdigy,"@ovahzzy @Lavi_Levstein @oryxspioenkop You might want to look it up again. That's like saying VW is headquartered in Czech Republic because they build Skoda there. 
https://t.co/Ix3LntGeUm.",,"Hannover, Germany"
ibizaenergy,"@ClareCraigPath I hardly can believe, that the figures concerning hospital admissions due to pneumonia are correct. I saw statistics of hospital admissions due to Sari in Germany and there were no anormalities compared with pre Corona years. What do you think?",,Hannover / Germany
th3other0ne,After nine hours of drive I finally arrived in #Hannover again. Where are you spending your Christmas? And with who?,['Hannover'],"München, Bayern"
DarthSquig,@bencoates1 Wrong sauce choice (speciaal or oorlog!),,"Brussel (B), Hannover (D)"
CaptainAra84,"@SergioDavila007 @Marvel @veve_official Uuuh, is that the UR and Rare cover art we're gonna get for Thor's first comic appearance on VeVe? 🔥 Nice!",,"Hannover, Deutschland"
Sahva,@LucifersChoice Oh Mist. 😳,,"Hannover, Deutschland"
PugilistProdigy,"@KonicekMarcel @oryxspioenkop Does Masahiko Mori sound german to you? Sounds like 🇯🇵 to me, but what do i know.",,"Hannover, Germany"
Leon_rdlf,"@niklasher03 Zählt ""the last time i was scared was when you caught me trying to kill you"" von poptropicaslutz! ??",,"Hannover, Deutschland"
eateleu,Our flagship conference has been announced for 2023! https://t.co/oJd9VWeI1x,,"Hannover, Germany"
HaiseIRLv7,@TheFast_Rblx I would say so yeah. Niantic is driving the game into a wall but it’s still fun to play,,"Hannover, Germany"
Leon_rdlf,Also hol,,"Hannover, Deutschland"
le_durak,Schande!,,"Hannover, Deutschland"
mikrobenjaeger,I‘ve listened to so many „blizzard“ US weather news that I dream that by tomorrow the dreadful rainy Northern German weather will magically turn into a White Christmas…Happy Holidays everyone! 🎄🎅🌧️,,"Hannover, Deutschland"
MechDawn,@dreams_dahlia @madewithUnreal Great style and colors. Do you have different color versions? Or is that a theme?,,"Hannover, Deutschland"
IkhBrandes,"@KimDotcom Very nice words.
However, you're a bit too early for Christmas wishes, as the Russian and Ukrainian Orthodox churches celebrate on January 7.",,"Hanover, Lower Saxony"
DarthSquig,"@CAutengruber @derJamesJackson @TheLocalGermany Most of you clearly not (who can blame you, seeing us via Bavaria 🤷‍♀️ ), but there seem to be edge cases: https://t.co/YnF4mHHF6R",,"Brussel (B), Hannover (D)"
MechDawn,@dreams_dahlia @madewithUnreal Less flicker and use different timings for each. Longer phase of off/on with short flickery. Give that a try maybe.,,"Hannover, Deutschland"
OnlinePRManager,My Tweeted Times https://t.co/RziKqWpSMM,,Hannover
MechDawn,"@FreyaHolmer You did an awesome video. One that talks bad about you or that content can be ignored. Only if it would add up something off value. Dont bother with people like that, they propably will never be able to do anything practical with their math. But you do.",,"Hannover, Deutschland"
hedyundolaf,@dummchens Lecker 😋,,"Mitte, Hannover"
MechDawn,@EulateBrigitte @dandinohill @MrsMertes Few always knew,,"Hannover, Deutschland"
socialclueless,@Garyhatkbm Nein,,Hannover
EugestShirley,"@MiraclesArt @pixieprincess22 Yes. 
Check your camping/emergency supplies. If you have sleeping bag, it helps. Mylar blankets retain heat , though they are pretty fragile.

A blanket fort can be made with a table, or sturdy chair backs.
https://t.co/dM7enGcKXM",,Hanover
MustafaEddine,"@CallofDuty No, warzone 2 is trash. Bring back verdansk and rebirth island to wz1 or change wz2. 
- slower TTK 
- better movement with sliding and jumping
- add plating while sprinting 
- give us a resurgence mode",,"Hannover, Deutschland"
LeonHain,"@FossyGFX @RoobetReloads @Roobet I dont know why, but I have a magic feeling :)",,"Hannover, Deutschland"
ejclibrarian,@boubayaga_ Assigned to the UK and it's not a big deal at birth 😂😂,,"Hannover, Germany "
CaptainAra84,@ryuzui @veve_official @Disney That's why I said cringeworthy 😁,,"Hannover, Deutschland"
Tigerkaninchen,@zeb600 For the love of Primzahlen!,,"Hannover, Deutschland"
janniswiese,@lenny_cro @cryptocom Not quite… https://t.co/EVba132ohv,,"Hanover, Lower Saxony"
BonnieBianco11,@diesefrauO Ups schon 22:23,,"Hannover, Deutschland"
TownGhosts,@aluschka_ Same 😡😡,,"Hannover, Deutschland"
goddessmina651,@me1dusax Danke cano❤️,,"Hannover, Deutschland"
Mike_Reset,@DallasFuel @fielder_ow Are we Just gonna get dripfed These announcements? Max Out Engagement?,,Hannover
King_SSBM,"@ElCocinero386 they are sick videos and i recommend them to everyone asking about melees characters, very weird to see others feel so differently when watching the same vid",,"Hannover, Deutschland"
Nimbert,BUMM BUMM 💥💥 #CallOfDuty #PS5 #CallOfDutyModernWarfareII https://t.co/0yFceRvLto,"['CallOfDuty', 'PS5', 'CallOfDutyModernWarfareII']","Europe, Germany, Hannover"
suha_u,@gulsinonay Size de ailenizle frohes Fest 🎄,,hannover
PhilipLeButt,@brianschatz What can you say to reassure Europeans worried about the state of Democracy in the US?,,Hannover
kyngrimursel,"The story is over; the book is closed, my favorite character dead (as usual), and I am left alone with my fictional loss 😔",,"Hannover, Germany "
fmpreuss,"Have a great weekend, everyone!",,Hannover
ScreamRL,@StaaRRL Bro really stole my tweet,,"Hannover, Deutschland"
GedigMoritz,"@CafeDeCombate @ThomasSowell Right,
No government is not the solution to bad government.",,Hannover
xMaltex123,"@elgato A Plague Tale: Requiem, and then again Innocence",,Hannover
Johnbop7,@MrsMarryPoppins Ach neee... 🤔🙄🤕,,"Hannover, Deutschland"
Anna___Beller,@mariuswatz Thank you so much Marius! 💙 I wish you a merry christmas!! Have a good holiday:),,"Hannover, Deutschland"
JU1CY95,@MotionMarkus Aiiii let’s grooow,,Germany / EUROPE
charlotte_in_h,"@VerdantDreaming @wotveteran I also haven’t commented a lot because of spoilers, and I know some of my followers will post spoilers because they don’t know #wotbookspoilers etiquette. 
But I’m there for the re-read! Yeah!",['wotbookspoilers'],Hannover
GofERabbbit,"@FiveTimesAugust If a man did that to a woman, forcing to kiss, the man would be in custody, right now.",,"Hannover, Deutschland"
ScreamRL,@IcyBaltazar Don’t know you sorry,,"Hannover, Deutschland"
ScreamRL,"@itstxmper Really fun and good guy, super player, wish we teamed back then ngl",,"Hannover, Deutschland"
JRehborn,@scalzi @AScalzi98 @happiestpaints Okay that is incredibly cool.,,"Hannover, Deutschland"
ejclibrarian,@goodreads I don't know yet! Tomorrow is Book Flood so I'll be getting a new book in the morning to read tomorrow 😁,,"Hannover, Germany "
GedigMoritz,"@NoahCRothman What/Who was the reason to have such a military in the first place?
Who are the nukes for?",,Hannover
nawunderbar,@badguwrlriri diese https://t.co/rqz3hSXDYp,,Hannover
Ameena1623,@Fidias0 @elonmusk Anyone who's against you has just no idea @elonmusk,,"Hannover, Deutschland"
GedigMoritz,"@deathbyairwave @EigenGender People say it is against ""ethical intuitions"". And that is a argument for some reason.
People act strange when they are at the risk of seeing inconvenient truths.",,Hannover
charlotte_in_h,I bought an air purifier with a HEPA filter for a #saferchristmas,['saferchristmas'],Hannover
jill_king77,@Djmortyy @TLCbyGphoto @ddanpereira humoring your claim here: sociological statistics don't equal biological inherence. that's utter nonsense. good earth. let it go already. :D,,"hannover, germany"
JRehborn,@Lilischote @Nonxens Same 😂,,"Hannover, Deutschland"
GedigMoritz,"Everyone wants rights and freedoms.
But others to pay for them and bad outcomes.",,Hannover
SaschaSebastian,@ToughSf Though you might have to deal with some relativistic effects after a while 😅,,"Hannover, Deutschland"
Slluxx,"@MP9_R6 @sephidia @HUN2R No, the complaint is that men are allowed to show nipples (bare/through clothing) and women are not. Men have way more freedom when it comes to this, not just on twitch.
And when women want to wear something comfortable, they get banned because society forces them to wear a bra",,Hannover
SaschaSebastian,"@ToughSf But 1G acceleration should work, shouldn’t it? 🤔",,"Hannover, Deutschland"
JayNervos,@ShteveHarrytong @xBieberCyrus @Josh12801 @BubblesWheelers But we are still a family! https://t.co/OQj64wbkVL,,Germany
TheScarfix,@ArtOfZuhani classic classic when,,"Hannover, Germany"
GedigMoritz,"I am all for women being in charge of their reproduction.
But those who are making the decisions also need to be the same who pay for the consequences.",,Hannover
ndelprete18,Some of my favorite shots from last night’s @HHS_bball2022 game vs. Marshfield https://t.co/biz4C3o8u4,,Hanover
rosalaut,@SehrHell Nein :(,,"Hannover, Germany"
MRTNmusic_,I'm so sad my @ladygaga and @hauslabs notices are gone forever :(,,"Hannover, Deutschland"
Baciagalupo,@citizen135711 Is it true he left Russia for safety?,,"Hannover, Germany"
janniswiese,@JohnK31853672 He’s a gift that keeps on giving. Instant insults! https://t.co/vmi4H0AE9y,,"Hanover, Lower Saxony"
TheScarfix,@ArtOfZuhani I really wonder if they just rerelease everything at one point,,"Hannover, Germany"
MRTNmusic_,"✨ naturally and artificially flavored✨

they really gave y'all the best of both worlds https://t.co/3zRcPwN1FK",,"Hannover, Deutschland"
JayNervos,OMG! I have the DLC! santa was so fast 🤭 @xBieberCyrus @Josh12801 @ShteveHarrytong @BubblesWheelers ✨️✨️✨️🥺 https://t.co/aqiyFTwoo3,,Germany
MRTNmusic_,"@usernamex42 Lady Gaga.

I ACTUALLY DID IT",,"Hannover, Deutschland"
Flashxyz,@Rito_Janna Oh noooo,,"Hannover, Deutschland"
darth_edger,@Chito_Angel95 Good night 😴,,"Niedersachsen, Deutschland"
MRTNmusic_,@InfoAvaMax Weapons deserves so much better! It's the best song so far with Dancing's Done right behind it!?,,"Hannover, Deutschland"
Iceman2709,@RobD285 @MalteLueers @EchoGuild @StarforgePCs @Displate @CurseForge @secretlabchairs @elgato @ESNGameHealthy @Swisscom_Gaming @myientertain @erupt_lounge @ROCCAT Sorry EU. Blizzard should Release it global. Then we don't have the Problem.,,"Hannover,Germany"
raijufx,X For Breakfast💊 | @girawtf https://t.co/PhUKb0nXUN,,"Hannover, Deutschland"
Iceman2709,@RobD285 @MalteLueers @EchoGuild @StarforgePCs @Displate @CurseForge @secretlabchairs @elgato @ESNGameHealthy @Swisscom_Gaming @myientertain @erupt_lounge @ROCCAT World First 🤣 global is always behind a day 👍 https://t.co/y6WTr74GXO,,"Hannover,Germany"
bRkGod94,@Rainbow6Game so bad xD,,"Hannover, Deutschland"
janniswiese,@UaWarRoom @Randy_ESH I will miss his “investigations” https://t.co/EoiT0xgtmZ,,"Hanover, Lower Saxony"
EugestShirley,"@RonFilipkowski Every time she speaks, more nonsense.🤦‍♀️",,Hanover
rehwanne,@torben_kassler Installation fand statt https://t.co/9L1WXQn3fD,,"Hannover, Deutschland"
AnnelleRoob,$SAND Suppose a parade of household appliances turned out to be the beginning of the Great War $BNB https://t.co/95cYgyaVdC,,"Hannover 
"
janniswiese,@JamesCl86233737 @WaInvestigator Smells like BS to me… https://t.co/ae4q57tq1J,,"Hanover, Lower Saxony"
janniswiese,@chrisvt @WaInvestigator A mirrored image of Cyrillic handwriting is evidence for you? https://t.co/5AvJghtPV1,,"Hanover, Lower Saxony"
janniswiese,"@WaInvestigator They got the flag as a gift from the soldiers at the front line. What else do you do, if not hold it up? https://t.co/rgDAIvlwjn",,"Hanover, Lower Saxony"
Robert_Ziehm,@adwooldridge Syria and Lebanon boggle the mind the most. Belong on top,,"Hanover, Lower Saxony"
EugestShirley,@AmyLynnStL A rock. https://t.co/r3fuItCBk7,,Hanover
janniswiese,@WaInvestigator @warman218 @chrisvt Me. Investigator can’t even see if a photo has been mirrored,,"Hanover, Lower Saxony"
janniswiese,@WaInvestigator Dictator? This is what he does to real dictators. Think again. https://t.co/P6HLqJSj9L,,"Hanover, Lower Saxony"
IngoKnito666,"@Flash_news_ua Only 13 km away from final destination, the Kremlin. 👋😍🔥",,"Hanover, Germany"
jeonsuphoria,@mlyie_ I am here  for a reason,, she/ they • haj 
meriemakin,Was stuck in the worst jam in a parking garage of a shopping mall with no snacks/drinks &amp; a hungry child on the passenger seat - which I fed with a cough drop (the only thing that I could find) &amp; several YouTube shorts. Situations like these remind me how much I dislike shopping,,"Hanover, Germany"
ZarahTsukino,"It sure was a wild year~
A lot changed, i hope its for the better https://t.co/hnyBSEIi5p https://t.co/lwIhZJ2kSs",,"Hannover, Deutschland"
janniswiese,@saintjavelin Happy Holidays! 💙💛🎄,,"Hanover, Lower Saxony"
Kaikonyan,Plans To Watch SPY×FAMILY Season 2 (https://t.co/BTwP6MLQLj) #AniList #SPY_FAMILY #スパイファミリー,"['AniList', 'SPY_FAMILY', 'スパイファミリー']","Hannover, Deutschland"
MexxKite,@acorea Oh sweet death 😂,,Hannover
ventsistanchev,Warren Buffett https://t.co/e1ARHzTkQr,,"Hanover, Lower Saxony"
AnaestheticsApp,"@wesbos Most annoying popups, appearing everywhere now. Not a big fan of the new Google identity library...",,"Hannover, Germany"
monikaspvk,@AnneMarie what do you eat those with? cause i really can’t get used to them 😕,,"Hannover, Germany "
timbiernoth,"If Russia throws an atomic bomb on EU/NATO/UNO/WHO territory, then one will also be thrown somewhere in China, where it hurts them the most... Everyone should feel something out of the pain.",,"Hannover, Germany"
janniswiese,@SarahAshtonLV @Randy_ESH Stay safe! 😊,,"Hanover, Lower Saxony"
jeonsuphoria,It's raining  it's already so cold wtf why,, she/ they • haj 
Spuernaeschen,@UnlockedSmau Welcome back 🤗,,Hannover
AnaestheticsApp,"@MikeRey92144159 Congrats on passing, glad the long trip was worth it! 😀",,"Hannover, Germany"
EugestShirley,@ruthellaowens I'm glad you are alive.,,Hanover
janniswiese,@WaInvestigator Congrats! You “investigated” a photoshopped fake! https://t.co/MbNSQrZK8D,,"Hanover, Lower Saxony"
nummer1_eth,@__McM___ @yaypegs Frog master https://t.co/fBgteReWQE,,"Hannover, Deutschland"
turnxcold,@tearingmexapart stranger things,,"Hannover, Deutschland"
AnaestheticsApp,@briwbri Must have been a famous turkey,,"Hannover, Germany"
sobieski902,@lexfridman I smell CEO preparation 😋🕺 have fun,,Hannover
jeonsuphoria,@rmvsjk Someone must had blocked me add my bu @jungkookmera,, she/ they • haj 
bellabahr,@Frisobotter Muss.,,"Hannover, Deutschland"
GlienkeStephan,@NoContextBrits British food. A class If it's own!,,Hannover
kekebhai,Again an interview with waqaar.....to tell about the hidden stories ......hmmmmmmmmmmm https://t.co/klukwXeVAx,,"Hannover, Germany"
stephenmorris84,"""Cosmic broken clock - made with @NightCafeStudio 

https://t.co/GXZtKD4vQU

#aiart #nightcafe #digitalart https://t.co/GXZtKD4vQU https://t.co/ly8qIPmdbE","['aiart', 'nightcafe', 'digitalart']",Germany / South Africa
MikeWall_Privat,@e_nowatschek Nein.,,"Hannover, Deutschland"
Iceman2709,@Warcraft @EchoGuild @WarcraftDevs @Warcraft when will there finally be a global release? it's literally embarrassing that wow has been around for so long but you can't create a fair competition.,,"Hannover,Germany"
kendriinchen,"Are you fucking kidding me?!
Argh!!!! The cliffhanger!!! #Willow",['Willow'],"Hannover, Deutschland"
Poakz44,@semsiller @RicexDDD Ne du hast mein noble gethrowt,,Hannover city
InviSan_Pubg,@luluistoxic I will get that for you. Will be in the us at the start of next year anyway. Somewhen around March ish.,,"Hannover, Germany"
CaptainAra84,@OMI__Homie Much better 😂,,"Hannover, Deutschland"
DorkyMcDarkFace,munich airport is also like bangalore. it's in mysore. but munich's mysore.,,Hannover 
GlienkeStephan,@ELChandler5 I focus on reading the all at the same time. Im not made for book monogamy. I call it double-booking!,,Hannover
RadioTurn,"***NOW ON AIR*** 
The Audio https://t.co/UZJyaIkAZd Show
https://t.co/DUGSC4fokd
 This month with songs from A Perfect Circle, Stone Sour, Def Leppard, Staind, Theory of a Deadman, Seether and many more...+ a Rockin X-Mas Speci https://t.co/aC8hss0gen",,"Hannover, Niedersachsen"
CaptainAra84,@veve_official @Disney I love the coloring on these :-) Looks so warm and friendly. The animation is top notch as well. I like all of them :-),,"Hannover, Deutschland"
CaptainAra84,@OMI__Homie I highly doubt that you look like that when you sleep 😂 No way it's that peaceful and cute ...,,"Hannover, Deutschland"
123sky_,Twitter,,"Hannover, Deutschland"
Spuernaeschen,@mrmusicman_ A little tired but good. And you?,,Hannover
jeonsuphoria,@Iahsnirf First,, she/ they • haj 
jeonsuphoria,@bewithbts Naur you just did not,, she/ they • haj 
PapaRiedel,@FerdiLethen @power_r2 @MMe2K @LuiseFreese @TKarafilov You are always welcome! 🙏,,"Hannover, Deutschland"
jeonsuphoria,@mlyie_ I want boobs,, she/ they • haj 
seahawk_82,@BornAKang His soul shall burn in hell,,Hannover
PugilistProdigy,"@m3gaclite @Gerashchenko_en Solovyov said that Girkin never made it to the frontlines and ran away, so he is not in the position to talk like an expert.",,"Hannover, Germany"
H96Tolga,@KingMoehwald Safe,,"Hannover, Deutschland"
seahawk_82,That's one of the reasons I don't go to a fucking restaurant. Another is that very few kitchens have real cooking. It's all ready-made food that is heated. Plus flavor enhancers and other toxins. Thank you no. Vegan for 4 years and Happy. https://t.co/x4mEYZg5n5,,Hannover
PugilistProdigy,"@medvdv @ELINTNews You sure? 

https://t.co/GjpM33Os86",,"Hannover, Germany"
jeonsuphoria,@SEXVGUK Ilym i was busy today couldn't talk sigh,, she/ they • haj 
germerikan,@stickfigureme I take it you are not impressed.,,"Hannover, Deutschland"
xKathyMxxx,"atsushi and kyouka having a sibling dynamic is so cute and something I live for, I really sincerely hope they never become anything more than that (mostly because of their age difference)",,"Hannover, Deutschland"
ArndZucker,"@MikkoTyllinen Great work. Is it done with the standard procreate brushes, or something special.",,"Langenhagen, Deutschland"
I_Am_TheWolf,Well ... https://t.co/t6sdomasGn,,"Hanover, Lower Saxony"
EugestShirley,"@ahzoov Wrap that scarf around your neck and head, young man! Do you want to get frostbite on your nose and ears?
Wear gloves. https://t.co/QlloEePlcm",,Hanover
PapaRiedel,@FerdiLethen @power_r2 @MMe2K @LuiseFreese @TKarafilov Yepp... we have missed you!,,"Hannover, Deutschland"
SasaRistic83,"@MrBeast No, thanks. 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️",,Hannover
Dobrindt1,@TelePolitics of all the worst he was the best...,,Hannover
jeonsuphoria,@SEXVGUK So pretty,, she/ they • haj 
consuelomendez4,Brazil’s Museum of Images from the Unconscious is revolutionizing the way we think and talk about mental health. https://t.co/IzosdIL1pg vía @OpenSociety,,"caracas, venzuela"
socialclueless,@Timileiche Same bro,,Hannover
caoimhin_craig,"@holytacbr @PuroresuFlow Aye mate, it was so good! 🫡 Can't wait for their next one!",,"Hannover, Germany"
michaelartur,So isses https://t.co/q5RQ6n5ohJ,,near hannover
sombrastudios,"@Maggdalenee commented me, being swordless and pathetic",,"Hannover, Deutschland"
sombrastudios,@Maggdalenee this is my problem with woman these days,,"Hannover, Deutschland"
jeonsuphoria,daily i love @SEXVGUK  tweet,, she/ they • haj 
jeonsuphoria,@fckd_Trndsetter Can't relate,, she/ they • haj 
sombrastudios,"@kefimochi I think adventure time fits here, does it? :)
I really love that show. It gave me so much comfort in years I was depressed",,"Hannover, Deutschland"
